iter	Passed	Remaining
0	1	116
1	2	104
2	3	103
3	4	99
4	5	108
5	6	106
6	7	102
7	8	101
8	9	100
9	11	100
10	12	99
11	13	97
12	14	96
13	15	95
14	16	94
15	17	93
16	18	92
17	20	91
18	21	90
19	22	88
20	23	87
21	24	86
22	25	85
23	26	83
24	27	82
25	28	80
26	29	79
27	30	78
28	31	76
29	32	75
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	44	61
42	45	59
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	46
56	59	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	75	32
70	76	31
71	77	30
72	78	28
73	79	27
74	80	26
75	82	25
76	83	24
77	84	23
78	86	22
79	87	21
80	88	20
81	89	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	110	0
